Date,"Slack (software)"
2015-07-01,947
2015-07-02,830
2015-07-03,711
2015-07-04,380
2015-07-05,402
2015-07-06,886
2015-07-07,1005
2015-07-08,970
2015-07-09,1120
2015-07-10,984
2015-07-11,564
2015-07-12,723
2015-07-13,1110
2015-07-14,1245
2015-07-15,1102
2015-07-16,1016
2015-07-17,880
2015-07-18,454
2015-07-19,436
2015-07-20,1030
2015-07-21,1093
2015-07-22,1027
2015-07-23,974
2015-07-24,845
2015-07-25,455
2015-07-26,445
2015-07-27,850
2015-07-28,1034
2015-07-29,1113
2015-07-30,1129
2015-07-31,989
2015-08-01,457
2015-08-02,518
2015-08-03,952
2015-08-04,1188
2015-08-05,1174
2015-08-06,1051
2015-08-07,854
2015-08-08,614
2015-08-09,532
2015-08-10,881
2015-08-11,1055
2015-08-12,943
2015-08-13,907
2015-08-14,863
2015-08-15,693
2015-08-16,566
2015-08-17,1311
2015-08-18,1293
2015-08-19,1107
2015-08-20,1081
2015-08-21,922
2015-08-22,534
2015-08-23,520
2015-08-24,1242
2015-08-25,1404
2015-08-26,1229
2015-08-27,1161
2015-08-28,915
2015-08-29,599
2015-08-30,662
2015-08-31,1164
2015-09-01,1301
2015-09-02,1251
2015-09-03,1159
2015-09-04,988
2015-09-05,520
2015-09-06,515
2015-09-07,815
2015-09-08,1166
2015-09-09,1040
2015-09-10,1029
2015-09-11,948
2015-09-12,516
2015-09-13,624
2015-09-14,1117
2015-09-15,1065
2015-09-16,1106
2015-09-17,1249
2015-09-18,1023
2015-09-19,542
2015-09-20,624
2015-09-21,1395
2015-09-22,1403
2015-09-23,1548
2015-09-24,1376
2015-09-25,1191
2015-09-26,737
2015-09-27,628
2015-09-28,1337
2015-09-29,1384
2015-09-30,1257
2015-10-01,1111
2015-10-02,996
2015-10-03,640
2015-10-04,591
2015-10-05,1212
2015-10-06,1345
2015-10-07,1338
2015-10-08,1413
2015-10-09,1442
2015-10-10,677
2015-10-11,621
2015-10-12,1190
2015-10-13,1122
2015-10-14,1556
2015-10-15,1509
2015-10-16,1187
2015-10-17,678
2015-10-18,730
2015-10-19,1326
2015-10-20,1145
2015-10-21,1184
2015-10-22,1136
2015-10-23,1077
2015-10-24,615
2015-10-25,581
2015-10-26,1166
2015-10-27,1385
2015-10-28,1221
2015-10-29,1601
2015-10-30,1466
2015-10-31,763
2015-11-01,1108
2015-11-02,1609
2015-11-03,2043
2015-11-04,1905
2015-11-05,2590
2015-11-06,2775
2015-11-07,2084
2015-11-08,1362
2015-11-09,1892
2015-11-10,1640
2015-11-11,1599
2015-11-12,1646
2015-11-13,1333
2015-11-14,670
2015-11-15,685
2015-11-16,1275
2015-11-17,1456
2015-11-18,1415
2015-11-19,1379
2015-11-20,1169
2015-11-21,680
2015-11-22,672
2015-11-23,2190
2015-11-24,2065
2015-11-25,1534
2015-11-26,1138
2015-11-27,951
2015-11-28,727
2015-11-29,817
2015-11-30,1381
2015-12-01,1749
2015-12-02,1400
2015-12-03,1522
2015-12-04,1350
2015-12-05,701
2015-12-06,830
2015-12-07,1221
2015-12-08,1370
2015-12-09,1357
2015-12-10,2883
2015-12-11,1560
2015-12-12,831
2015-12-13,1051
2015-12-14,1625
2015-12-15,1455
2015-12-16,2984
2015-12-17,2086
2015-12-18,1405
2015-12-19,875
2015-12-20,792
2015-12-21,1312
2015-12-22,1134
2015-12-23,953
2015-12-24,705
2015-12-25,529
2015-12-26,526
2015-12-27,575
2015-12-28,918
2015-12-29,949
2015-12-30,1160
2015-12-31,939
2016-01-01,789
2016-01-02,911
2016-01-03,990
2016-01-04,1558
2016-01-05,1526
2016-01-06,1462
2016-01-07,1569
2016-01-08,1344
2016-01-09,881
2016-01-10,763
2016-01-11,1596
2016-01-12,1662
2016-01-13,1551
2016-01-14,1513
2016-01-15,1869
2016-01-16,1463
2016-01-17,771
2016-01-18,1387
2016-01-19,1505
2016-01-20,1520
2016-01-21,1458
2016-01-22,1357
2016-01-23,748
2016-01-24,737
2016-01-25,1383
2016-01-26,1406
2016-01-27,1478
2016-01-28,2018
2016-01-29,1412
2016-01-30,758
2016-01-31,787
2016-02-01,1521
2016-02-02,1617
2016-02-03,1957
2016-02-04,1828
2016-02-05,1615
2016-02-06,755
2016-02-07,753
2016-02-08,1283
2016-02-09,1600
2016-02-10,1880
2016-02-11,1711
2016-02-12,1620
2016-02-13,852
2016-02-14,778
2016-02-15,1545
2016-02-16,1577
2016-02-17,1685
2016-02-18,1888
2016-02-19,1490
2016-02-20,688
2016-02-21,636
2016-02-22,1528
2016-02-23,1819
2016-02-24,2108
2016-02-25,1722
2016-02-26,1500
2016-02-27,829
2016-02-28,816
2016-02-29,1524
2016-03-01,1728
2016-03-02,2582
2016-03-03,2381
2016-03-04,2599
2016-03-05,2516
2016-03-06,1539
2016-03-07,2444
2016-03-08,1855
2016-03-09,2188
2016-03-10,2072
2016-03-11,1714
2016-03-12,994
2016-03-13,1029
2016-03-14,1724
2016-03-15,1802
2016-03-16,1889
2016-03-17,1873
2016-03-18,1568
2016-03-19,829
2016-03-20,791
2016-03-21,1474
2016-03-22,1515
2016-03-23,1476
2016-03-24,1238
2016-03-25,1319
2016-03-26,942
2016-03-27,910
2016-03-28,1185
2016-03-29,1543
2016-03-30,1557
2016-03-31,1586
2016-04-01,2279
2016-04-02,2441
2016-04-03,1629
2016-04-04,2233
2016-04-05,2229
2016-04-06,2388
2016-04-07,2255
2016-04-08,2431
2016-04-09,1610
2016-04-10,1559
2016-04-11,2550
2016-04-12,2535
2016-04-13,2866
2016-04-14,2467
2016-04-15,2038
2016-04-16,1057
2016-04-17,1221
2016-04-18,2143
2016-04-19,2386
2016-04-20,2083
2016-04-21,1982
2016-04-22,1651
2016-04-23,911
2016-04-24,1062
2016-04-25,1852
2016-04-26,1728
2016-04-27,1590
2016-04-28,1606
2016-04-29,1537
2016-04-30,891
2016-05-01,744
2016-05-02,1372
2016-05-03,1528
2016-05-04,1577
2016-05-05,1837
2016-05-06,1380
2016-05-07,826
2016-05-08,825
2016-05-09,1927
2016-05-10,2437
2016-05-11,2388
2016-05-12,2156
2016-05-13,2201
2016-05-14,1107
2016-05-15,1425
2016-05-16,2418
2016-05-17,2364
2016-05-18,2399
2016-05-19,1918
2016-05-20,1959
2016-05-21,990
2016-05-22,1265
2016-05-23,2142
2016-05-24,2101
2016-05-25,2125
2016-05-26,2470
2016-05-27,2524
2016-05-28,998
2016-05-29,1572
2016-05-30,2076
2016-05-31,1605
2016-06-01,1428
2016-06-02,1436
2016-06-03,1318
2016-06-04,736
2016-06-05,844
2016-06-06,8818
2016-06-07,4891
2016-06-08,3755
2016-06-09,2562
2016-06-10,2440
2016-06-11,1340
2016-06-12,1295
2016-06-13,2553
2016-06-14,2421
2016-06-15,2349
2016-06-16,2060
2016-06-17,1743
2016-06-18,960
2016-06-19,1172
2016-06-20,1795
2016-06-21,2038
2016-06-22,2399
2016-06-23,2256
2016-06-24,1440
2016-06-25,826
2016-06-26,847
2016-06-27,1564
2016-06-28,1779
2016-06-29,1776
2016-06-30,1786
2016-07-01,1583
2016-07-02,742
2016-07-03,754
2016-07-04,1347
2016-07-05,1614
2016-07-06,1534
2016-07-07,1561
2016-07-08,1384
2016-07-09,729
2016-07-10,720
2016-07-11,1454
2016-07-12,1461
2016-07-13,1418
2016-07-14,1470
2016-07-15,1263
2016-07-16,657
2016-07-17,673
2016-07-18,1316
2016-07-19,1409
2016-07-20,1700
2016-07-21,1394
2016-07-22,1351
2016-07-23,735
2016-07-24,819
2016-07-25,1435
2016-07-26,1355
2016-07-27,1319
2016-07-28,1483
