Date,"Slack (software)"
2015-07-01,996
2015-07-02,864
2015-07-03,748
2015-07-04,427
2015-07-05,423
2015-07-06,938
2015-07-07,1028
2015-07-08,981
2015-07-09,1160
2015-07-10,1022
2015-07-11,588
2015-07-12,741
2015-07-13,1130
2015-07-14,1258
2015-07-15,1118
2015-07-16,1023
2015-07-17,889
2015-07-18,467
2015-07-19,448
2015-07-20,1036
2015-07-21,1105
2015-07-22,1039
2015-07-23,982
2015-07-24,858
2015-07-25,464
2015-07-26,455
2015-07-27,855
2015-07-28,1041
2015-07-29,1126
2015-07-30,1135
2015-07-31,998
2015-08-01,463
2015-08-02,528
2015-08-03,956
2015-08-04,1198
2015-08-05,1181
2015-08-06,1059
2015-08-07,860
2015-08-08,629
2015-08-09,536
2015-08-10,887
2015-08-11,1068
2015-08-12,999
2015-08-13,948
2015-08-14,868
2015-08-15,716
2015-08-16,571
2015-08-17,1323
2015-08-18,1306
2015-08-19,1111
2015-08-20,1115
2015-08-21,934
2015-08-22,540
2015-08-23,535
2015-08-24,1252
2015-08-25,1452
2015-08-26,1281
2015-08-27,1184
2015-08-28,923
2015-08-29,610
2015-08-30,669
2015-08-31,1172
2015-09-01,1305
2015-09-02,1262
2015-09-03,1166
2015-09-04,1002
2015-09-05,533
2015-09-06,520
2015-09-07,822
2015-09-08,1191
2015-09-09,1050
2015-09-10,1045
2015-09-11,955
2015-09-12,533
2015-09-13,629
2015-09-14,1129
2015-09-15,1078
2015-09-16,1133
2015-09-17,1270
2015-09-18,1034
2015-09-19,557
2015-09-20,637
2015-09-21,1408
2015-09-22,1419
2015-09-23,1562
2015-09-24,1391
2015-09-25,1207
2015-09-26,758
2015-09-27,637
2015-09-28,1351
2015-09-29,1410
2015-09-30,1271
2015-10-01,1123
2015-10-02,1004
2015-10-03,653
2015-10-04,602
2015-10-05,1225
2015-10-06,1359
2015-10-07,1357
2015-10-08,1449
2015-10-09,1481
2015-10-10,692
2015-10-11,629
2015-10-12,1200
2015-10-13,1147
2015-10-14,1574
2015-10-15,1525
2015-10-16,1198
2015-10-17,690
2015-10-18,741
2015-10-19,1344
2015-10-20,1180
2015-10-21,1203
2015-10-22,1147
2015-10-23,1090
2015-10-24,634
2015-10-25,588
2015-10-26,1184
2015-10-27,1403
2015-10-28,1270
2015-10-29,1623
2015-10-30,1523
2015-10-31,776
2015-11-01,1120
2015-11-02,1632
2015-11-03,2077
2015-11-04,1980
2015-11-05,2663
2015-11-06,2815
2015-11-07,2096
2015-11-08,1381
2015-11-09,1905
2015-11-10,1660
2015-11-11,1610
2015-11-12,1662
2015-11-13,1347
2015-11-14,690
2015-11-15,701
2015-11-16,1290
2015-11-17,1469
2015-11-18,1431
2015-11-19,1442
2015-11-20,1191
2015-11-21,701
2015-11-22,687
2015-11-23,2225
2015-11-24,2087
2015-11-25,1555
2015-11-26,1153
2015-11-27,963
2015-11-28,744
2015-11-29,851
2015-11-30,1395
2015-12-01,1772
2015-12-02,1424
2015-12-03,1528
2015-12-04,1389
2015-12-05,725
2015-12-06,843
2015-12-07,1238
2015-12-08,1384
2015-12-09,1386
2015-12-10,2923
2015-12-11,1599
2015-12-12,848
2015-12-13,1092
2015-12-14,1643
2015-12-15,1469
2015-12-16,3016
2015-12-17,2115
2015-12-18,1421
2015-12-19,905
2015-12-20,837
2015-12-21,1359
2015-12-22,1161
2015-12-23,965
2015-12-24,727
2015-12-25,550
2015-12-26,547
2015-12-27,591
2015-12-28,957
2015-12-29,1003
2015-12-30,1167
2015-12-31,957
2016-01-01,808
2016-01-02,933
2016-01-03,1022
2016-01-04,1569
2016-01-05,1584
2016-01-06,1478
2016-01-07,1701
2016-01-08,1361
2016-01-09,896
2016-01-10,786
2016-01-11,1620
2016-01-12,1695
2016-01-13,1566
2016-01-14,1538
2016-01-15,1882
2016-01-16,1481
2016-01-17,793
2016-01-18,1404
2016-01-19,1521
2016-01-20,1549
2016-01-21,1486
2016-01-22,1373
2016-01-23,766
2016-01-24,753
2016-01-25,1402
2016-01-26,1422
2016-01-27,1520
2016-01-28,2067
2016-01-29,1441
2016-01-30,785
2016-01-31,807
2016-02-01,1544
2016-02-02,1669
2016-02-03,1976
2016-02-04,1862
2016-02-05,1660
2016-02-06,800
2016-02-07,780
2016-02-08,1299
2016-02-09,1617
2016-02-10,1906
2016-02-11,1738
