Date,"Slack (software)"
2015-07-01,49
2015-07-02,34
2015-07-03,37
2015-07-04,47
2015-07-05,21
2015-07-06,52
2015-07-07,23
2015-07-08,11
2015-07-09,40
2015-07-10,38
2015-07-11,24
2015-07-12,18
2015-07-13,20
2015-07-14,13
2015-07-15,16
2015-07-16,7
2015-07-17,9
2015-07-18,13
2015-07-19,12
2015-07-20,6
2015-07-21,12
2015-07-22,12
2015-07-23,8
2015-07-24,13
2015-07-25,9
2015-07-26,10
2015-07-27,5
2015-07-28,7
2015-07-29,13
2015-07-30,6
2015-07-31,9
2015-08-01,6
2015-08-02,10
2015-08-03,4
2015-08-04,10
2015-08-05,7
2015-08-06,8
2015-08-07,6
2015-08-08,15
2015-08-09,4
2015-08-10,6
2015-08-11,13
2015-08-12,56
2015-08-13,41
2015-08-14,5
2015-08-15,23
2015-08-16,5
2015-08-17,12
2015-08-18,13
2015-08-19,4
2015-08-20,34
2015-08-21,12
2015-08-22,6
2015-08-23,15
2015-08-24,10
2015-08-25,48
2015-08-26,52
2015-08-27,23
2015-08-28,8
2015-08-29,11
2015-08-30,7
2015-08-31,8
2015-09-01,4
2015-09-02,11
2015-09-03,7
2015-09-04,14
2015-09-05,13
2015-09-06,5
2015-09-07,7
2015-09-08,25
2015-09-09,10
2015-09-10,16
2015-09-11,7
2015-09-12,17
2015-09-13,5
2015-09-14,12
2015-09-15,13
2015-09-16,27
2015-09-17,21
2015-09-18,11
2015-09-19,15
2015-09-20,13
2015-09-21,13
2015-09-22,16
2015-09-23,14
2015-09-24,15
2015-09-25,16
2015-09-26,21
2015-09-27,9
2015-09-28,14
2015-09-29,26
2015-09-30,14
2015-10-01,12
2015-10-02,8
2015-10-03,13
2015-10-04,11
2015-10-05,13
2015-10-06,14
2015-10-07,19
2015-10-08,36
2015-10-09,39
2015-10-10,15
2015-10-11,8
2015-10-12,10
2015-10-13,25
2015-10-14,18
2015-10-15,16
2015-10-16,11
2015-10-17,12
2015-10-18,11
2015-10-19,18
2015-10-20,35
2015-10-21,19
2015-10-22,11
2015-10-23,13
2015-10-24,19
2015-10-25,7
2015-10-26,18
2015-10-27,18
2015-10-28,49
2015-10-29,22
2015-10-30,57
2015-10-31,13
2015-11-01,12
2015-11-02,23
2015-11-03,34
2015-11-04,75
2015-11-05,73
2015-11-06,40
2015-11-07,12
2015-11-08,19
2015-11-09,13
2015-11-10,20
2015-11-11,11
2015-11-12,16
2015-11-13,14
2015-11-14,20
2015-11-15,16
2015-11-16,15
2015-11-17,13
2015-11-18,16
2015-11-19,63
2015-11-20,22
2015-11-21,21
2015-11-22,15
2015-11-23,35
2015-11-24,22
2015-11-25,21
2015-11-26,15
2015-11-27,12
2015-11-28,17
2015-11-29,34
2015-11-30,14
2015-12-01,23
2015-12-02,24
2015-12-03,6
2015-12-04,39
2015-12-05,24
2015-12-06,13
2015-12-07,17
2015-12-08,14
2015-12-09,29
2015-12-10,40
2015-12-11,39
2015-12-12,17
2015-12-13,41
2015-12-14,18
2015-12-15,14
2015-12-16,32
2015-12-17,29
2015-12-18,16
2015-12-19,30
2015-12-20,45
2015-12-21,47
2015-12-22,27
2015-12-23,12
2015-12-24,22
2015-12-25,21
2015-12-26,21
2015-12-27,16
2015-12-28,39
2015-12-29,54
2015-12-30,7
2015-12-31,18
2016-01-01,19
2016-01-02,22
2016-01-03,32
2016-01-04,11
2016-01-05,58
2016-01-06,16
2016-01-07,132
2016-01-08,17
2016-01-09,15
2016-01-10,23
2016-01-11,24
2016-01-12,33
2016-01-13,15
2016-01-14,25
2016-01-15,13
2016-01-16,18
2016-01-17,22
2016-01-18,17
2016-01-19,16
2016-01-20,29
2016-01-21,28
2016-01-22,16
2016-01-23,18
2016-01-24,16
2016-01-25,19
2016-01-26,16
2016-01-27,42
2016-01-28,49
2016-01-29,29
2016-01-30,27
2016-01-31,20
2016-02-01,23
2016-02-02,52
2016-02-03,19
2016-02-04,34
2016-02-05,45
2016-02-06,45
2016-02-07,27
2016-02-08,16
2016-02-09,17
2016-02-10,26
2016-02-11,27
2016-02-12,36
2016-02-13,23
2016-02-14,27
2016-02-15,20
2016-02-16,28
2016-02-17,24
2016-02-18,26
2016-02-19,28
2016-02-20,31
2016-02-21,29
2016-02-22,40
2016-02-23,32
2016-02-24,30
2016-02-25,47
2016-02-26,30
2016-02-27,24
2016-02-28,31
2016-02-29,37
2016-03-01,22
2016-03-02,21
2016-03-03,23
2016-03-04,37
2016-03-05,33
2016-03-06,29
2016-03-07,25
2016-03-08,63
2016-03-09,67
2016-03-10,34
2016-03-11,25
2016-03-12,34
2016-03-13,20
2016-03-14,25
2016-03-15,28
2016-03-16,34
2016-03-17,27
2016-03-18,62
2016-03-19,27
2016-03-20,22
2016-03-21,20
2016-03-22,26
2016-03-23,18
2016-03-24,26
2016-03-25,12
2016-03-26,60
2016-03-27,24
2016-03-28,13
2016-03-29,29
2016-03-30,24
2016-03-31,22
2016-04-01,16
2016-04-02,50
2016-04-03,46
2016-04-04,30
2016-04-05,25
2016-04-06,40
2016-04-07,25
2016-04-08,20
2016-04-09,19
2016-04-10,24
2016-04-11,17
2016-04-12,26
2016-04-13,32
2016-04-14,61
2016-04-15,19
2016-04-16,19
2016-04-17,20
2016-04-18,31
2016-04-19,27
2016-04-20,26
2016-04-21,27
2016-04-22,22
2016-04-23,28
2016-04-24,54
2016-04-25,39
2016-04-26,27
2016-04-27,28
2016-04-28,26
2016-04-29,25
2016-04-30,30
2016-05-01,46
2016-05-02,21
2016-05-03,41
2016-05-04,28
2016-05-05,47
2016-05-06,25
2016-05-07,37
2016-05-08,20
2016-05-09,22
2016-05-10,48
2016-05-11,26
2016-05-12,34
2016-05-13,25
2016-05-14,16
2016-05-15,19
2016-05-16,24
2016-05-17,21
2016-05-18,39
2016-05-19,17
2016-05-20,38
2016-05-21,21
2016-05-22,21
2016-05-23,23
2016-05-24,26
2016-05-25,16
2016-05-26,25
2016-05-27,22
2016-05-28,28
2016-05-29,20
2016-05-30,19
2016-05-31,14
2016-06-01,37
2016-06-02,31
2016-06-03,18
2016-06-04,24
2016-06-05,25
2016-06-06,41
2016-06-07,50
2016-06-08,41
2016-06-09,39
2016-06-10,30
2016-06-11,26
2016-06-12,29
2016-06-13,23
2016-06-14,44
2016-06-15,25
2016-06-16,33
2016-06-17,24
2016-06-18,38
2016-06-19,18
