Date,"Slack (software)"
2015-07-01,805
2015-07-02,701
2015-07-03,564
2015-07-04,277
2015-07-05,256
2015-07-06,791
2015-07-07,864
2015-07-08,789
2015-07-09,915
2015-07-10,775
2015-07-11,298
2015-07-12,351
2015-07-13,905
2015-07-14,994
2015-07-15,844
2015-07-16,798
2015-07-17,708
2015-07-18,296
2015-07-19,292
2015-07-20,824
2015-07-21,863
2015-07-22,840
2015-07-23,782
2015-07-24,659
2015-07-25,291
2015-07-26,289
2015-07-27,687
2015-07-28,857
2015-07-29,885
2015-07-30,888
2015-07-31,726
2015-08-01,286
2015-08-02,318
2015-08-03,749
2015-08-04,906
2015-08-05,939
2015-08-06,800
2015-08-07,620
2015-08-08,370
2015-08-09,322
2015-08-10,673
2015-08-11,859
2015-08-12,778
2015-08-13,757
2015-08-14,639
2015-08-15,370
2015-08-16,301
2015-08-17,983
2015-08-18,996
2015-08-19,809
2015-08-20,805
2015-08-21,684
2015-08-22,308
2015-08-23,310
2015-08-24,951
2015-08-25,1093
2015-08-26,928
2015-08-27,894
2015-08-28,677
2015-08-29,326
2015-08-30,364
2015-08-31,853
2015-09-01,953
2015-09-02,925
2015-09-03,849
2015-09-04,707
2015-09-05,319
2015-09-06,313
2015-09-07,614
2015-09-08,923
2015-09-09,788
2015-09-10,774
2015-09-11,683
2015-09-12,308
2015-09-13,362
2015-09-14,831
2015-09-15,820
2015-09-16,844
2015-09-17,929
2015-09-18,747
2015-09-19,334
2015-09-20,360
2015-09-21,1100
2015-09-22,1026
2015-09-23,1070
2015-09-24,980
2015-09-25,882
2015-09-26,419
2015-09-27,384
2015-09-28,1002
2015-09-29,1019
2015-09-30,935
2015-10-01,839
2015-10-02,723
2015-10-03,359
2015-10-04,336
2015-10-05,955
2015-10-06,985
2015-10-07,999
2015-10-08,1140
2015-10-09,1035
2015-10-10,384
2015-10-11,404
2015-10-12,921
2015-10-13,874
2015-10-14,1105
2015-10-15,1068
2015-10-16,850
2015-10-17,366
2015-10-18,402
2015-10-19,1065
2015-10-20,887
2015-10-21,896
2015-10-22,827
2015-10-23,780
2015-10-24,355
2015-10-25,330
2015-10-26,925
2015-10-27,1068
2015-10-28,933
2015-10-29,1104
2015-10-30,1039
2015-10-31,416
2015-11-01,603
2015-11-02,1153
2015-11-03,1389
2015-11-04,1387
2015-11-05,1508
2015-11-06,1734
2015-11-07,972
2015-11-08,726
2015-11-09,1373
2015-11-10,1213
2015-11-11,1109
2015-11-12,1219
2015-11-13,947
2015-11-14,381
2015-11-15,439
2015-11-16,996
2015-11-17,1120
2015-11-18,1081
2015-11-19,1100
2015-11-20,862
2015-11-21,394
2015-11-22,399
2015-11-23,1660
2015-11-24,1473
2015-11-25,1070
2015-11-26,745
2015-11-27,665
2015-11-28,398
2015-11-29,456
2015-11-30,1021
2015-12-01,1159
2015-12-02,995
2015-12-03,1086
2015-12-04,976
2015-12-05,375
2015-12-06,438
2015-12-07,902
2015-12-08,1007
2015-12-09,1003
2015-12-10,2540
2015-12-11,1192
2015-12-12,477
2015-12-13,581
2015-12-14,1179
2015-12-15,1040
2015-12-16,1915
2015-12-17,1495
2015-12-18,993
2015-12-19,481
2015-12-20,418
2015-12-21,969
2015-12-22,819
2015-12-23,665
2015-12-24,396
2015-12-25,246
2015-12-26,280
2015-12-27,293
2015-12-28,686
2015-12-29,739
2015-12-30,779
2015-12-31,606
2016-01-01,443
2016-01-02,525
2016-01-03,534
2016-01-04,1190
2016-01-05,1174
2016-01-06,1102
2016-01-07,1315
2016-01-08,1036
2016-01-09,492
2016-01-10,460
2016-01-11,1286
2016-01-12,1324
2016-01-13,1216
2016-01-14,1177
2016-01-15,1228
2016-01-16,624
2016-01-17,495
2016-01-18,1047
2016-01-19,1177
2016-01-20,1221
2016-01-21,1148
2016-01-22,1072
2016-01-23,446
2016-01-24,489
2016-01-25,1105
2016-01-26,1087
2016-01-27,1167
2016-01-28,1509
2016-01-29,1092
2016-01-30,452
2016-01-31,466
2016-02-01,1244
2016-02-02,1268
2016-02-03,1318
2016-02-04,1310
2016-02-05,1107
2016-02-06,472
2016-02-07,437
2016-02-08,952
2016-02-09,1094
2016-02-10,1343
2016-02-11,1219
2016-02-12,1136
2016-02-13,477
2016-02-14,456
2016-02-15,1089
2016-02-16,1117
2016-02-17,1237
2016-02-18,1362
2016-02-19,1052
2016-02-20,417
2016-02-21,417
2016-02-22,1173
2016-02-23,1265
2016-02-24,1552
2016-02-25,1271
2016-02-26,1133
2016-02-27,474
2016-02-28,489
2016-02-29,1146
2016-03-01,1292
2016-03-02,1919
2016-03-03,1678
2016-03-04,1946
2016-03-05,1349
2016-03-06,864
2016-03-07,1771
2016-03-08,1462
2016-03-09,1710
2016-03-10,1604
2016-03-11,1316
2016-03-12,621
2016-03-13,575
2016-03-14,1332
2016-03-15,1361
2016-03-16,1457
2016-03-17,1434
2016-03-18,1189
2016-03-19,492
2016-03-20,476
2016-03-21,1177
2016-03-22,1187
2016-03-23,1148
2016-03-24,941
2016-03-25,852
2016-03-26,533
2016-03-27,519
2016-03-28,869
2016-03-29,1237
2016-03-30,1222
2016-03-31,1223
2016-04-01,1572
2016-04-02,1160
2016-04-03,881
2016-04-04,1666
2016-04-05,1512
2016-04-06,1481
2016-04-07,1428
2016-04-08,1217
2016-04-09,606
2016-04-10,690
2016-04-11,1649
2016-04-12,1634
2016-04-13,1743
2016-04-14,1530
2016-04-15,1188
2016-04-16,498
2016-04-17,532
2016-04-18,1367
2016-04-19,1436
2016-04-20,1415
2016-04-21,1278
2016-04-22,1107
2016-04-23,493
2016-04-24,548
2016-04-25,1306
2016-04-26,1341
2016-04-27,1230
2016-04-28,1159
2016-04-29,1049
2016-04-30,445
2016-05-01,450
2016-05-02,1016
2016-05-03,1179
2016-05-04,1208
2016-05-05,1278
2016-05-06,1016
2016-05-07,453
2016-05-08,463
2016-05-09,1347
2016-05-10,1421
2016-05-11,1521
2016-05-12,1377
2016-05-13,1289
2016-05-14,532
2016-05-15,623
2016-05-16,1434
2016-05-17,1507
2016-05-18,1481
2016-05-19,1261
2016-05-20,1247
2016-05-21,542
2016-05-22,617
2016-05-23,1395
2016-05-24,1381
2016-05-25,1407
2016-05-26,1513
2016-05-27,1363
2016-05-28,462
2016-05-29,610
2016-05-30,1085
2016-05-31,1258
2016-06-01,1104
2016-06-02,1100
2016-06-03,998
2016-06-04,428
2016-06-05,534
2016-06-06,4736
2016-06-07,3077
2016-06-08,2253
2016-06-09,1752
2016-06-10,1689
2016-06-11,687
2016-06-12,660
2016-06-13,1839
2016-06-14,1755
2016-06-15,1693
2016-06-16,1504
2016-06-17,1294
2016-06-18,525
2016-06-19,549
2016-06-20,1337
2016-06-21,1480
2016-06-22,1770
2016-06-23,1640
2016-06-24,1038
2016-06-25,453
2016-06-26,480
2016-06-27,1231
2016-06-28,1385
2016-06-29,1338
2016-06-30,1396
2016-07-01,1127
2016-07-02,413
2016-07-03,454
2016-07-04,993
2016-07-05,1293
2016-07-06,1185
