Date,"Slack (software)"
2015-07-01,49
2015-07-02,34
2015-07-03,35
2015-07-04,46
2015-07-05,20
2015-07-06,52
2015-07-07,22
2015-07-08,8
2015-07-09,40
2015-07-10,38
2015-07-11,24
2015-07-12,18
2015-07-13,20
2015-07-14,13
2015-07-15,13
2015-07-16,7
2015-07-17,9
2015-07-18,13
2015-07-19,11
2015-07-20,5
2015-07-21,11
2015-07-22,10
2015-07-23,8
2015-07-24,12
2015-07-25,9
2015-07-26,8
2015-07-27,3
2015-07-28,6
2015-07-29,11
2015-07-30,6
2015-07-31,6
2015-08-01,6
2015-08-02,10
2015-08-03,3
2015-08-04,9
2015-08-05,7
2015-08-06,7
2015-08-07,6
2015-08-08,12
2015-08-09,4
2015-08-10,6
2015-08-11,13
2015-08-12,55
2015-08-13,39
2015-08-14,4
2015-08-15,22
2015-08-16,3
2015-08-17,10
2015-08-18,13
2015-08-19,4
2015-08-20,31
2015-08-21,11
2015-08-22,6
2015-08-23,14
2015-08-24,8
2015-08-25,45
2015-08-26,50
2015-08-27,22
2015-08-28,7
2015-08-29,11
2015-08-30,6
2015-08-31,7
2015-09-01,4
2015-09-02,11
2015-09-03,5
2015-09-04,13
2015-09-05,11
2015-09-06,5
2015-09-07,6
2015-09-08,24
2015-09-09,10
2015-09-10,15
2015-09-11,4
2015-09-12,16
2015-09-13,5
2015-09-14,12
2015-09-15,13
2015-09-16,23
2015-09-17,14
2015-09-18,10
2015-09-19,15
2015-09-20,12
2015-09-21,11
2015-09-22,11
2015-09-23,12
2015-09-24,15
2015-09-25,13
2015-09-26,16
2015-09-27,7
2015-09-28,10
2015-09-29,21
2015-09-30,11
2015-10-01,10
2015-10-02,7
2015-10-03,11
2015-10-04,11
2015-10-05,12
2015-10-06,14
2015-10-07,19
2015-10-08,34
2015-10-09,37
2015-10-10,14
2015-10-11,5
2015-10-12,9
2015-10-13,20
2015-10-14,17
2015-10-15,15
2015-10-16,7
2015-10-17,11
2015-10-18,9
2015-10-19,15
2015-10-20,26
2015-10-21,9
2015-10-22,10
2015-10-23,12
2015-10-24,17
2015-10-25,4
2015-10-26,17
2015-10-27,16
2015-10-28,47
2015-10-29,20
2015-10-30,56
2015-10-31,12
2015-11-01,10
2015-11-02,22
2015-11-03,31
2015-11-04,75
2015-11-05,71
2015-11-06,36
2015-11-07,11
2015-11-08,18
2015-11-09,11
2015-11-10,17
2015-11-11,9
2015-11-12,14
2015-11-13,12
2015-11-14,19
2015-11-15,12
2015-11-16,13
2015-11-17,11
2015-11-18,15
2015-11-19,62
2015-11-20,22
2015-11-21,21
2015-11-22,14
2015-11-23,30
2015-11-24,20
2015-11-25,19
2015-11-26,13
2015-11-27,11
2015-11-28,15
2015-11-29,29
2015-11-30,13
2015-12-01,21
2015-12-02,21
2015-12-03,6
2015-12-04,36
2015-12-05,23
2015-12-06,13
2015-12-07,15
2015-12-08,12
2015-12-09,29
2015-12-10,33
2015-12-11,37
2015-12-12,17
2015-12-13,37
2015-12-14,17
2015-12-15,12
2015-12-16,28
2015-12-17,26
2015-12-18,15
2015-12-19,28
2015-12-20,39
2015-12-21,47
2015-12-22,24
2015-12-23,11
2015-12-24,19
2015-12-25,19
2015-12-26,18
2015-12-27,15
2015-12-28,37
2015-12-29,50
2015-12-30,7
2015-12-31,18
2016-01-01,16
2016-01-02,17
2016-01-03,31
2016-01-04,11
2016-01-05,54
2016-01-06,14
2016-01-07,131
2016-01-08,14
2016-01-09,13
2016-01-10,19
2016-01-11,23
2016-01-12,32
2016-01-13,15
2016-01-14,19
2016-01-15,12
2016-01-16,14
2016-01-17,20
2016-01-18,14
2016-01-19,15
2016-01-20,26
2016-01-21,20
2016-01-22,16
2016-01-23,17
2016-01-24,14
2016-01-25,18
2016-01-26,11
2016-01-27,41
2016-01-28,47
2016-01-29,28
2016-01-30,26
2016-01-31,18
2016-02-01,20
2016-02-02,48
2016-02-03,18
2016-02-04,33
2016-02-05,43
2016-02-06,45
2016-02-07,24
2016-02-08,13
2016-02-09,17
2016-02-10,23
2016-02-11,27
2016-02-12,34
2016-02-13,23
2016-02-14,24
2016-02-15,19
2016-02-16,23
2016-02-17,23
2016-02-18,23
2016-02-19,28
2016-02-20,29
2016-02-21,27
2016-02-22,39
2016-02-23,29
2016-02-24,28
2016-02-25,46
2016-02-26,26
2016-02-27,24
2016-02-28,28
2016-02-29,36
2016-03-01,20
2016-03-02,14
2016-03-03,19
2016-03-04,30
2016-03-05,29
2016-03-06,21
2016-03-07,24
2016-03-08,60
2016-03-09,63
2016-03-10,30
2016-03-11,23
2016-03-12,23
2016-03-13,14
2016-03-14,20
2016-03-15,26
2016-03-16,30
2016-03-17,19
2016-03-18,58
2016-03-19,23
2016-03-20,17
2016-03-21,20
2016-03-22,12
2016-03-23,15
2016-03-24,23
2016-03-25,12
2016-03-26,58
2016-03-27,23
2016-03-28,12
2016-03-29,28
2016-03-30,24
2016-03-31,17
2016-04-01,13
2016-04-02,46
2016-04-03,31
2016-04-04,26
2016-04-05,23
2016-04-06,38
2016-04-07,23
2016-04-08,15
2016-04-09,17
2016-04-10,22
2016-04-11,16
2016-04-12,19
2016-04-13,25
2016-04-14,56
2016-04-15,15
2016-04-16,16
2016-04-17,16
2016-04-18,30
2016-04-19,20
2016-04-20,18
2016-04-21,26
2016-04-22,21
2016-04-23,21
2016-04-24,46
2016-04-25,24
2016-04-26,27
2016-04-27,27
2016-04-28,25
2016-04-29,24
2016-04-30,28
2016-05-01,46
2016-05-02,20
2016-05-03,41
2016-05-04,27
2016-05-05,46
2016-05-06,22
2016-05-07,37
2016-05-08,19
2016-05-09,21
2016-05-10,44
2016-05-11,23
2016-05-12,32
2016-05-13,22
2016-05-14,16
2016-05-15,19
2016-05-16,20
2016-05-17,21
2016-05-18,36
2016-05-19,17
2016-05-20,35
2016-05-21,20
2016-05-22,21
2016-05-23,21
2016-05-24,23
2016-05-25,15
2016-05-26,23
2016-05-27,18
2016-05-28,25
2016-05-29,16
2016-05-30,16
2016-05-31,13
2016-06-01,36
2016-06-02,28
2016-06-03,18
2016-06-04,24
2016-06-05,24
2016-06-06,31
2016-06-07,42
2016-06-08,38
2016-06-09,39
2016-06-10,29
2016-06-11,25
2016-06-12,24
2016-06-13,20
2016-06-14,44
2016-06-15,23
2016-06-16,28
2016-06-17,23
2016-06-18,37
2016-06-19,17
