Date,"Slack (software)"
2015-07-01,756
2015-07-02,667
2015-07-03,529
2015-07-04,231
2015-07-05,236
2015-07-06,739
2015-07-07,842
2015-07-08,781
2015-07-09,875
2015-07-10,737
2015-07-11,274
2015-07-12,333
2015-07-13,885
2015-07-14,981
2015-07-15,831
2015-07-16,791
2015-07-17,699
2015-07-18,283
2015-07-19,281
2015-07-20,819
2015-07-21,852
2015-07-22,830
2015-07-23,774
2015-07-24,647
2015-07-25,282
2015-07-26,281
2015-07-27,684
2015-07-28,851
2015-07-29,874
2015-07-30,882
2015-07-31,720
2015-08-01,280
2015-08-02,308
2015-08-03,746
2015-08-04,897
2015-08-05,932
2015-08-06,793
2015-08-07,614
2015-08-08,358
2015-08-09,318
2015-08-10,667
2015-08-11,846
2015-08-12,723
2015-08-13,718
2015-08-14,635
2015-08-15,348
2015-08-16,298
2015-08-17,973
2015-08-18,983
2015-08-19,805
2015-08-20,774
2015-08-21,673
2015-08-22,302
2015-08-23,296
2015-08-24,943
2015-08-25,1048
2015-08-26,878
2015-08-27,872
2015-08-28,670
2015-08-29,315
2015-08-30,358
2015-08-31,846
2015-09-01,949
2015-09-02,914
2015-09-03,844
2015-09-04,694
2015-09-05,308
2015-09-06,308
2015-09-07,608
2015-09-08,899
2015-09-09,778
2015-09-10,759
2015-09-11,679
2015-09-12,292
2015-09-13,357
2015-09-14,819
2015-09-15,807
2015-09-16,821
2015-09-17,915
2015-09-18,737
2015-09-19,319
2015-09-20,348
2015-09-21,1089
2015-09-22,1015
2015-09-23,1058
2015-09-24,965
2015-09-25,869
2015-09-26,403
2015-09-27,377
2015-09-28,992
2015-09-29,998
2015-09-30,924
2015-10-01,829
2015-10-02,716
2015-10-03,348
2015-10-04,325
2015-10-05,943
2015-10-06,971
2015-10-07,980
2015-10-08,1106
2015-10-09,998
2015-10-10,370
2015-10-11,399
2015-10-12,912
2015-10-13,854
2015-10-14,1088
2015-10-15,1053
2015-10-16,843
2015-10-17,355
2015-10-18,393
2015-10-19,1050
2015-10-20,861
2015-10-21,887
2015-10-22,817
2015-10-23,768
2015-10-24,338
2015-10-25,326
2015-10-26,908
2015-10-27,1052
2015-10-28,886
2015-10-29,1084
2015-10-30,983
2015-10-31,404
2015-11-01,593
2015-11-02,1131
2015-11-03,1358
2015-11-04,1312
2015-11-05,1437
2015-11-06,1698
2015-11-07,961
2015-11-08,708
2015-11-09,1362
2015-11-10,1196
2015-11-11,1100
2015-11-12,1205
2015-11-13,935
2015-11-14,362
2015-11-15,427
2015-11-16,983
2015-11-17,1109
2015-11-18,1066
2015-11-19,1038
2015-11-20,840
2015-11-21,373
2015-11-22,385
2015-11-23,1630
2015-11-24,1453
2015-11-25,1051
2015-11-26,732
2015-11-27,654
2015-11-28,383
2015-11-29,427
2015-11-30,1008
2015-12-01,1138
2015-12-02,974
2015-12-03,1080
2015-12-04,940
2015-12-05,352
2015-12-06,425
2015-12-07,887
2015-12-08,995
2015-12-09,974
2015-12-10,2507
2015-12-11,1155
2015-12-12,460
2015-12-13,544
2015-12-14,1162
2015-12-15,1028
2015-12-16,1887
2015-12-17,1469
2015-12-18,978
2015-12-19,453
2015-12-20,379
2015-12-21,922
2015-12-22,795
2015-12-23,654
2015-12-24,377
2015-12-25,227
2015-12-26,262
2015-12-27,278
2015-12-28,649
2015-12-29,689
2015-12-30,772
2015-12-31,588
2016-01-01,427
2016-01-02,508
2016-01-03,503
2016-01-04,1179
2016-01-05,1120
2016-01-06,1088
2016-01-07,1184
2016-01-08,1022
2016-01-09,479
2016-01-10,441
2016-01-11,1263
2016-01-12,1292
2016-01-13,1201
2016-01-14,1158
2016-01-15,1216
2016-01-16,610
2016-01-17,475
2016-01-18,1033
2016-01-19,1162
2016-01-20,1195
2016-01-21,1128
2016-01-22,1056
2016-01-23,429
2016-01-24,475
2016-01-25,1087
2016-01-26,1076
2016-01-27,1126
2016-01-28,1462
2016-01-29,1064
2016-01-30,426
2016-01-31,448
2016-02-01,1224
2016-02-02,1220
2016-02-03,1300
2016-02-04,1277
2016-02-05,1064
2016-02-06,427
2016-02-07,413
2016-02-08,939
2016-02-09,1077
2016-02-10,1320
2016-02-11,1192
2016-02-12,1102
2016-02-13,454
2016-02-14,432
2016-02-15,1070
2016-02-16,1094
2016-02-17,1214
2016-02-18,1339
2016-02-19,1024
2016-02-20,388
2016-02-21,390
2016-02-22,1134
2016-02-23,1236
2016-02-24,1524
2016-02-25,1225
2016-02-26,1107
2016-02-27,450
2016-02-28,461
2016-02-29,1110
2016-03-01,1272
2016-03-02,1905
2016-03-03,1659
2016-03-04,1916
2016-03-05,1320
2016-03-06,843
2016-03-07,1747
2016-03-08,1402
2016-03-09,1647
2016-03-10,1574
2016-03-11,1293
2016-03-12,598
2016-03-13,561
2016-03-14,1312
2016-03-15,1335
2016-03-16,1427
2016-03-17,1415
2016-03-18,1131
2016-03-19,469
2016-03-20,459
2016-03-21,1157
2016-03-22,1175
2016-03-23,1133
2016-03-24,918
2016-03-25,840
2016-03-26,475
2016-03-27,496
2016-03-28,857
2016-03-29,1209
2016-03-30,1198
2016-03-31,1206
2016-04-01,1559
2016-04-02,1114
2016-04-03,850
2016-04-04,1640
2016-04-05,1489
2016-04-06,1443
2016-04-07,1405
2016-04-08,1202
2016-04-09,589
2016-04-10,668
2016-04-11,1633
2016-04-12,1615
2016-04-13,1718
2016-04-14,1474
2016-04-15,1173
2016-04-16,482
2016-04-17,516
2016-04-18,1337
2016-04-19,1416
2016-04-20,1397
2016-04-21,1252
2016-04-22,1086
2016-04-23,472
2016-04-24,502
2016-04-25,1282
2016-04-26,1314
2016-04-27,1203
2016-04-28,1134
2016-04-29,1025
2016-04-30,417
2016-05-01,404
2016-05-02,996
2016-05-03,1138
2016-05-04,1181
2016-05-05,1232
2016-05-06,994
2016-05-07,416
2016-05-08,444
2016-05-09,1326
2016-05-10,1377
2016-05-11,1498
2016-05-12,1345
2016-05-13,1267
2016-05-14,516
2016-05-15,604
2016-05-16,1414
2016-05-17,1486
2016-05-18,1445
2016-05-19,1244
2016-05-20,1212
2016-05-21,522
2016-05-22,596
2016-05-23,1374
2016-05-24,1358
2016-05-25,1392
2016-05-26,1490
2016-05-27,1345
2016-05-28,437
2016-05-29,594
2016-05-30,1069
2016-05-31,1245
2016-06-01,1068
2016-06-02,1072
2016-06-03,980
2016-06-04,404
2016-06-05,510
2016-06-06,4705
2016-06-07,3035
2016-06-08,2215
2016-06-09,1713
2016-06-10,1660
2016-06-11,662
2016-06-12,636
2016-06-13,1819
2016-06-14,1711
2016-06-15,1670
2016-06-16,1476
2016-06-17,1271
2016-06-18,488
2016-06-19,532
2016-06-20,1321
2016-06-21,1461
2016-06-22,1753
2016-06-23,1612
2016-06-24,1013
2016-06-25,430
2016-06-26,459
2016-06-27,1208
2016-06-28,1362
2016-06-29,1310
2016-06-30,1348
2016-07-01,1108
2016-07-02,382
2016-07-03,429
2016-07-04,981
2016-07-05,1268
2016-07-06,1166
2016-07-07,1176
2016-07-08,1017
2016-07-09,380
2016-07-10,456
2016-07-11,1127
2016-07-12,1144
2016-07-13,1083
2016-07-14,1107
2016-07-15,915
2016-07-16,372
2016-07-17,378
2016-07-18,1008
2016-07-19,1079
2016-07-20,1192
2016-07-21,1069
2016-07-22,997
2016-07-23,377
2016-07-24,438
2016-07-25,1105
2016-07-26,1042
2016-07-27,1011
2016-07-28,1110
2016-07-29,834
2016-07-30,359
2016-07-31,392
2016-08-01,1033
2016-08-02,1224
2016-08-03,1217
2016-08-04,1157
2016-08-05,903
2016-08-06,318
2016-08-07,383
2016-08-08,1110
2016-08-09,1053
2016-08-10,1147
2016-08-11,1108
2016-08-12,931
2016-08-13,360
2016-08-14,424
2016-08-15,894
2016-08-16,1131
2016-08-17,1008
2016-08-18,860
2016-08-19,842
2016-08-20,371
2016-08-21,426
2016-08-22,1269
2016-08-23,1240
2016-08-24,1250
2016-08-25,1139
2016-08-26,1021
2016-08-27,423
2016-08-28,438
2016-08-29,1152
2016-08-30,1332
2016-08-31,1264
2016-09-01,1250
2016-09-02,1023
2016-09-03,354
2016-09-04,419
2016-09-05,792
2016-09-06,1280
2016-09-07,2024
2016-09-08,1581
2016-09-09,1076
2016-09-10,403
2016-09-11,463
2016-09-12,1137
2016-09-13,1334
2016-09-14,1288
2016-09-15,1149
2016-09-16,942
2016-09-17,430
2016-09-18,539
2016-09-19,1249
2016-09-20,1195
2016-09-21,1972
2016-09-22,1398
2016-09-23,1188
2016-09-24,525
2016-09-25,504
2016-09-26,1174
2016-09-27,1206
2016-09-28,1402
2016-09-29,1214
2016-09-30,933
2016-10-01,389
2016-10-02,494
2016-10-03,1118
2016-10-04,1245
2016-10-05,1170
2016-10-06,1153
2016-10-07,966
2016-10-08,426
2016-10-09,430
2016-10-10,1193
2016-10-11,1563
2016-10-12,1463
2016-10-13,1359
2016-10-14,1139
2016-10-15,438
2016-10-16,799
2016-10-17,1337
2016-10-18,1290
2016-10-19,1326
2016-10-20,1266
2016-10-21,1190
2016-10-22,538
2016-10-23,531
2016-10-24,1226
2016-10-25,1385
2016-10-26,1771
2016-10-27,1360
2016-10-28,1040
2016-10-29,465
2016-10-30,480
2016-10-31,1348
2016-11-01,1051
2016-11-02,2907
2016-11-03,4395
2016-11-04,2488
2016-11-05,747
2016-11-06,791
2016-11-07,1718
2016-11-08,1610
2016-11-09,1153
2016-11-10,1316
2016-11-11,994
2016-11-12,363
2016-11-13,452
2016-11-14,1243
2016-11-15,1299
2016-11-16,1366
2016-11-17,1210
2016-11-18,1120
2016-11-19,474
2016-11-20,477
2016-11-21,1137
2016-11-22,1242
2016-11-23,1022
2016-11-24,844
2016-11-25,756
2016-11-26,426
2016-11-27,466
2016-11-28,1223
2016-11-29,1450
2016-11-30,1608
2016-12-01,1439
2016-12-02,1187
2016-12-03,515
2016-12-04,532
2016-12-05,1187
2016-12-06,1301
2016-12-07,1446
2016-12-08,1534
2016-12-09,1160
2016-12-10,494
2016-12-11,500
2016-12-12,1347
2016-12-13,1259
2016-12-14,1565
2016-12-15,1297
2016-12-16,960
2016-12-17,410
2016-12-18,415
2016-12-19,1111
2016-12-20,1015
2016-12-21,1064
2016-12-22,1038
2016-12-23,517
2016-12-24,250
2016-12-25,259
2016-12-26,420
2016-12-27,620
2016-12-28,676
2016-12-29,649
2016-12-30,615
2016-12-31,303
2017-01-01,252
2017-01-02,655
2017-01-03,1119
2017-01-04,1275
2017-01-05,1309
2017-01-06,1785
2017-01-07,1087
2017-01-08,844
2017-01-09,1824
2017-01-10,1733
2017-01-11,1559
2017-01-12,1424
2017-01-13,1173
2017-01-14,509
2017-01-15,503
2017-01-16,1109
2017-01-17,1346
2017-01-18,1642
2017-01-19,1669
2017-01-20,1340
2017-01-21,451
2017-01-22,566
2017-01-23,1382
2017-01-24,1508
2017-01-25,1376
2017-01-26,1227
2017-01-27,1071
2017-01-28,500
2017-01-29,543
2017-01-30,1346
2017-01-31,1789
2017-02-01,1686
2017-02-02,1497
2017-02-03,1376
2017-02-04,465
2017-02-05,528
2017-02-06,1259
2017-02-07,1661
2017-02-08,1589
2017-02-09,1435
2017-02-10,1265
2017-02-11,527
2017-02-12,543
2017-02-13,1435
2017-02-14,1416
2017-02-15,1340
2017-02-16,1371
2017-02-17,1198
2017-02-18,474
2017-02-19,538
2017-02-20,1176
2017-02-21,1399
2017-02-22,1399
2017-02-23,1401
2017-02-24,1339
2017-02-25,502
2017-02-26,525
2017-02-27,1267
2017-02-28,1534
2017-03-01,1568
2017-03-02,1470
2017-03-03,1287
2017-03-04,520
2017-03-05,588
2017-03-06,1335
2017-03-07,1462
2017-03-08,1380
2017-03-09,1533
2017-03-10,1495
2017-03-11,478
2017-03-12,509
2017-03-13,1399
2017-03-14,1629
2017-03-15,1806
2017-03-16,1606
2017-03-17,1362
2017-03-18,539
2017-03-19,526
2017-03-20,1322
2017-03-21,1411
2017-03-22,1449
2017-03-23,1389
2017-03-24,1338
2017-03-25,490
2017-03-26,416
2017-03-27,1298
2017-03-28,1516
