Date,"Slack (software)"
2015-07-01,3
2015-07-02,10
2015-07-03,7
2015-07-04,6
2015-07-05,2
2015-07-06,2
2015-07-07,7
2015-07-08,5
2015-07-09,7
2015-07-10,8
2015-07-11,15
2015-07-12,24
2015-07-13,14
2015-07-14,16
2015-07-15,15
2015-07-16,3
2015-07-17,9
2015-07-18,3
2015-07-19,12
2015-07-20,7
2015-07-21,10
2015-07-22,9
2015-07-23,8
2015-07-24,5
2015-07-25,5
2015-07-26,9
2015-07-27,10
2015-07-28,9
2015-07-29,7
2015-07-30,6
2015-07-31,10
2015-08-01,10
2015-08-02,8
2015-08-03,4
2015-08-04,6
2015-08-05,10
2015-08-06,8
2015-08-07,5
2015-08-08,7
2015-08-09,3
2015-08-10,5
2015-08-11,7
2015-08-12,8
2015-08-13,2
2015-08-14,6
2015-08-15,12
2015-08-16,7
2015-08-17,15
2015-08-18,14
2015-08-19,9
2015-08-20,6
2015-08-21,5
2015-08-22,9
2015-08-23,11
2015-08-24,11
2015-08-25,16
2015-08-26,8
2015-08-27,14
2015-08-28,4
2015-08-29,11
2015-08-30,10
2015-08-31,11
2015-09-01,15
2015-09-02,10
2015-09-03,6
2015-09-04,6
2015-09-05,9
2015-09-06,6
2015-09-07,9
2015-09-08,9
2015-09-09,9
2015-09-10,8
2015-09-11,8
2015-09-12,10
2015-09-13,9
2015-09-14,14
2015-09-15,7
2015-09-16,9
2015-09-17,7
2015-09-18,12
2015-09-19,7
2015-09-20,9
2015-09-21,14
2015-09-22,15
2015-09-23,14
2015-09-24,15
2015-09-25,16
2015-09-26,5
2015-09-27,7
2015-09-28,15
2015-09-29,13
2015-09-30,8
2015-10-01,7
2015-10-02,6
2015-10-03,11
2015-10-04,16
2015-10-05,9
2015-10-06,13
2015-10-07,13
2015-10-08,10
2015-10-09,9
2015-10-10,7
2015-10-11,5
2015-10-12,7
2015-10-13,10
2015-10-14,14
2015-10-15,23
2015-10-16,11
2015-10-17,10
2015-10-18,18
2015-10-19,8
2015-10-20,9
2015-10-21,19
2015-10-22,5
2015-10-23,20
2015-10-24,14
2015-10-25,5
2015-10-26,11
2015-10-27,10
2015-10-28,13
2015-10-29,14
2015-10-30,14
2015-10-31,13
2015-11-01,25
2015-11-02,20
2015-11-03,14
2015-11-04,13
2015-11-05,25
2015-11-06,24
2015-11-07,35
2015-11-08,18
2015-11-09,16
2015-11-10,12
2015-11-11,10
2015-11-12,7
2015-11-13,10
2015-11-14,12
2015-11-15,5
2015-11-16,13
2015-11-17,8
2015-11-18,12
2015-11-19,11
2015-11-20,8
2015-11-21,13
2015-11-22,11
2015-11-23,21
2015-11-24,16
2015-11-25,15
2015-11-26,13
2015-11-27,9
2015-11-28,1
2015-11-29,12
2015-11-30,14
2015-12-01,12
2015-12-02,15
2015-12-03,18
2015-12-04,9
2015-12-05,7
2015-12-06,9
2015-12-07,15
2015-12-08,18
2015-12-09,15
2015-12-10,11
2015-12-11,11
2015-12-12,15
2015-12-13,6
2015-12-14,21
2015-12-15,13
2015-12-16,45
2015-12-17,20
2015-12-18,12
2015-12-19,19
2015-12-20,16
2015-12-21,6
2015-12-22,10
2015-12-23,7
2015-12-24,13
2015-12-25,7
2015-12-26,11
2015-12-27,10
2015-12-28,3
2015-12-29,12
2015-12-30,7
2015-12-31,17
2016-01-01,9
2016-01-02,14
2016-01-03,16
2016-01-04,13
2016-01-05,16
2016-01-06,14
2016-01-07,19
2016-01-08,16
2016-01-09,14
2016-01-10,12
2016-01-11,17
2016-01-12,9
2016-01-13,10
2016-01-14,12
2016-01-15,23
2016-01-16,18
2016-01-17,15
2016-01-18,4
2016-01-19,11
2016-01-20,7
2016-01-21,16
2016-01-22,13
2016-01-23,14
2016-01-24,17
2016-01-25,9
2016-01-26,10
2016-01-27,11
2016-01-28,21
2016-01-29,12
2016-01-30,8
2016-01-31,10
2016-02-01,9
2016-02-02,10
2016-02-03,24
2016-02-04,15
2016-02-05,12
2016-02-06,8
2016-02-07,14
2016-02-08,9
2016-02-09,11
2016-02-10,28
2016-02-11,12
2016-02-12,20
2016-02-13,11
2016-02-14,13
2016-02-15,9
2016-02-16,13
2016-02-17,15
2016-02-18,18
2016-02-19,9
2016-02-20,6
2016-02-21,6
2016-02-22,18
2016-02-23,14
2016-02-24,15
2016-02-25,12
2016-02-26,9
2016-02-27,8
2016-02-28,9
2016-02-29,8
2016-03-01,10
2016-03-02,27
2016-03-03,18
2016-03-04,24
2016-03-05,50
2016-03-06,30
2016-03-07,21
2016-03-08,15
2016-03-09,21
2016-03-10,20
2016-03-11,9
2016-03-12,21
2016-03-13,19
2016-03-14,18
2016-03-15,20
2016-03-16,20
2016-03-17,19
2016-03-18,19
2016-03-19,23
2016-03-20,20
2016-03-21,11
2016-03-22,17
2016-03-23,19
2016-03-24,14
2016-03-25,34
2016-03-26,23
2016-03-27,20
2016-03-28,20
2016-03-29,8
2016-03-30,22
2016-03-31,16
2016-04-01,34
2016-04-02,81
2016-04-03,38
2016-04-04,28
2016-04-05,30
