Date,"Slack (software)"
2015-07-01,188
2015-07-02,153
2015-07-03,177
2015-07-04,144
2015-07-05,165
2015-07-06,145
2015-07-07,157
2015-07-08,187
2015-07-09,238
2015-07-10,239
2015-07-11,275
2015-07-12,366
2015-07-13,211
2015-07-14,248
2015-07-15,259
2015-07-16,222
2015-07-17,172
2015-07-18,168
2015-07-19,144
2015-07-20,205
2015-07-21,232
2015-07-22,190
2015-07-23,192
2015-07-24,194
2015-07-25,168
2015-07-26,157
2015-07-27,158
2015-07-28,175
2015-07-29,234
2015-07-30,241
2015-07-31,262
2015-08-01,167
2015-08-02,202
2015-08-03,203
2015-08-04,286
2015-08-05,232
2015-08-06,251
2015-08-07,235
2015-08-08,252
2015-08-09,211
2015-08-10,209
2015-08-11,202
2015-08-12,213
2015-08-13,189
2015-08-14,223
2015-08-15,334
2015-08-16,263
2015-08-17,325
2015-08-18,296
2015-08-19,293
2015-08-20,304
2015-08-21,245
2015-08-22,223
2015-08-23,214
2015-08-24,290
2015-08-25,343
2015-08-26,345
2015-08-27,276
2015-08-28,242
2015-08-29,273
2015-08-30,295
2015-08-31,308
2015-09-01,337
2015-09-02,327
2015-09-03,311
2015-09-04,289
2015-09-05,205
2015-09-06,201
2015-09-07,199
2015-09-08,259
2015-09-09,253
2015-09-10,263
2015-09-11,264
2015-09-12,215
2015-09-13,258
2015-09-14,284
2015-09-15,251
2015-09-16,280
2015-09-17,334
2015-09-18,275
2015-09-19,216
2015-09-20,268
2015-09-21,294
2015-09-22,378
2015-09-23,478
2015-09-24,396
2015-09-25,309
2015-09-26,334
2015-09-27,246
2015-09-28,334
2015-09-29,378
2015-09-30,328
2015-10-01,277
2015-10-02,275
2015-10-03,283
2015-10-04,250
2015-10-05,261
2015-10-06,361
2015-10-07,345
2015-10-08,299
2015-10-09,437
2015-10-10,301
2015-10-11,220
2015-10-12,272
2015-10-13,263
2015-10-14,455
2015-10-15,434
2015-10-16,337
2015-10-17,314
2015-10-18,321
2015-10-19,271
2015-10-20,284
2015-10-21,288
2015-10-22,315
2015-10-23,290
2015-10-24,265
2015-10-25,253
2015-10-26,248
2015-10-27,325
2015-10-28,324
2015-10-29,505
2015-10-30,470
2015-10-31,347
2015-11-01,492
2015-11-02,459
2015-11-03,674
2015-11-04,580
2015-11-05,1130
2015-11-06,1057
2015-11-07,1089
2015-11-08,637
2015-11-09,516
2015-11-10,435
2015-11-11,491
2015-11-12,436
2015-11-13,390
2015-11-14,297
2015-11-15,257
2015-11-16,281
2015-11-17,341
2015-11-18,338
2015-11-19,331
2015-11-20,321
2015-11-21,294
2015-11-22,277
2015-11-23,544
2015-11-24,598
2015-11-25,470
2015-11-26,395
2015-11-27,289
2015-11-28,345
2015-11-29,383
2015-11-30,360
