Date,"Slack (software)"
2015-07-01,188
2015-07-02,153
2015-07-03,175
2015-07-04,143
2015-07-05,164
2015-07-06,145
2015-07-07,156
2015-07-08,184
2015-07-09,238
2015-07-10,239
2015-07-11,275
2015-07-12,366
2015-07-13,211
2015-07-14,248
2015-07-15,256
2015-07-16,222
2015-07-17,172
2015-07-18,168
2015-07-19,143
2015-07-20,204
2015-07-21,231
2015-07-22,188
2015-07-23,192
2015-07-24,193
2015-07-25,168
2015-07-26,155
2015-07-27,156
2015-07-28,174
2015-07-29,232
2015-07-30,241
2015-07-31,259
2015-08-01,167
2015-08-02,202
2015-08-03,202
2015-08-04,285
2015-08-05,232
2015-08-06,250
2015-08-07,235
2015-08-08,249
2015-08-09,211
2015-08-10,209
2015-08-11,202
2015-08-12,212
2015-08-13,187
2015-08-14,222
2015-08-15,333
2015-08-16,261
2015-08-17,323
2015-08-18,296
2015-08-19,293
2015-08-20,301
2015-08-21,244
2015-08-22,223
2015-08-23,213
2015-08-24,288
2015-08-25,340
2015-08-26,343
2015-08-27,275
2015-08-28,241
2015-08-29,273
2015-08-30,294
2015-08-31,307
2015-09-01,337
2015-09-02,327
2015-09-03,309
2015-09-04,288
2015-09-05,203
2015-09-06,201
2015-09-07,198
2015-09-08,258
2015-09-09,253
2015-09-10,262
2015-09-11,261
2015-09-12,214
2015-09-13,258
2015-09-14,284
2015-09-15,251
2015-09-16,276
2015-09-17,327
2015-09-18,274
2015-09-19,216
2015-09-20,267
2015-09-21,292
2015-09-22,373
2015-09-23,476
2015-09-24,396
2015-09-25,306
2015-09-26,329
2015-09-27,244
2015-09-28,330
2015-09-29,373
2015-09-30,325
2015-10-01,275
2015-10-02,274
2015-10-03,281
2015-10-04,250
2015-10-05,260
2015-10-06,361
2015-10-07,345
2015-10-08,297
2015-10-09,435
2015-10-10,300
2015-10-11,217
2015-10-12,271
2015-10-13,258
2015-10-14,454
2015-10-15,433
2015-10-16,333
2015-10-17,313
2015-10-18,319
2015-10-19,268
2015-10-20,275
2015-10-21,278
2015-10-22,314
2015-10-23,289
2015-10-24,263
2015-10-25,250
2015-10-26,247
2015-10-27,323
2015-10-28,322
2015-10-29,503
2015-10-30,469
2015-10-31,346
2015-11-01,490
2015-11-02,458
2015-11-03,671
2015-11-04,580
2015-11-05,1128
2015-11-06,1053
2015-11-07,1088
2015-11-08,636
2015-11-09,514
2015-11-10,432
2015-11-11,489
2015-11-12,434
2015-11-13,388
2015-11-14,296
2015-11-15,253
2015-11-16,279
2015-11-17,339
2015-11-18,337
2015-11-19,330
2015-11-20,321
2015-11-21,294
2015-11-22,276
2015-11-23,539
2015-11-24,596
2015-11-25,468
2015-11-26,393
2015-11-27,288
2015-11-28,343
2015-11-29,378
2015-11-30,359
